score,score_dealer,hard,decision,earn,earn_if_stand,earn_if_double,earn_if_hit,should_split
20,11,TRUE,stand,0.105197120007505,0.105197120007505,-1.75271465090645,-0.876357325453224,FALSE
20,10,TRUE,stand,0.436741686281078,0.436741686281078,-1.70908962684133,-0.854544813420665,FALSE
20,9,TRUE,stand,0.759325450305282,0.759325450305282,-1.70116370369502,-0.850581851847512,FALSE
20,8,TRUE,stand,0.793191749283466,0.793191749283466,-1.70297890335009,-0.851489451675046,FALSE
20,7,TRUE,stand,0.773225870786846,0.773225870786846,-1.70001994392238,-0.850009971961191,TRUE
20,6,TRUE,stand,0.676074578802446,0.676074578802446,-1.70245484668876,-0.851227423344379,TRUE
20,5,TRUE,stand,0.669858318906123,0.669858318906123,-1.7035414384812,-0.851770719240599,TRUE
20,4,TRUE,stand,0.654962815482813,0.654962815482813,-1.70802834221467,-0.854014171107337,TRUE
20,3,TRUE,stand,0.647613600550932,0.647613600550932,-1.70121275080831,-0.850606375404153,TRUE
20,2,TRUE,stand,0.634816247582205,0.634816247582205,-1.71124787527109,-0.855623937635543,TRUE
19,11,TRUE,stand,-0.180138082687923,-0.180138082687923,-1.59263990169289,-0.794313129310158,
19,10,TRUE,stand,-0.0168778238671339,-0.0168778238671339,-1.48785561112206,-0.744246142166867,
19,9,TRUE,stand,0.283288926436184,0.283288926436184,-1.4287106836496,-0.714795825378625,
19,8,TRUE,stand,0.598802395209581,0.598802395209581,-1.42617989826798,-0.713894647739683,
19,7,TRUE,stand,0.616228211230463,0.616228211230463,-1.4271242040265,-0.713709802107375,
19,6,TRUE,stand,0.453042861289386,0.453042861289386,-1.44202921920857,-0.71983989401996,
19,5,TRUE,stand,0.439735783846638,0.439735783846638,-1.44773009900031,-0.724085520508737,
19,4,TRUE,stand,0.412577502214349,0.412577502214349,-1.45325710604719,-0.727144211360259,
19,3,TRUE,stand,0.399769751043316,0.399769751043316,-1.45306279080923,-0.725954818192392,
19,2,TRUE,stand,0.377192273498747,0.377192273498747,-1.46690374201891,-0.733873829285424,
18,11,TRUE,stand,-0.467149396587599,-0.467149396587599,-1.45261756138161,-0.728442042023449,FALSE
18,10,TRUE,stand,-0.237568969572915,-0.237568969572915,-1.33621660882233,-0.669097822330155,FALSE
18,9,TRUE,stand,-0.176510410646765,-0.176510410646765,-1.23240262206298,-0.616866262984495,TRUE
18,8,TRUE,stand,0.110395416611472,0.110395416611472,-1.17889786726719,-0.591086527028488,TRUE
18,7,TRUE,stand,0.404050574409085,0.404050574409085,-1.17836392446851,-0.587498655867821,FALSE
18,6,TRUE,stand,0.224858514693022,0.224858514693022,-1.2232910389889,-0.611639697094178,TRUE
18,5,TRUE,stand,0.195553691275168,0.195553691275168,-1.22614093959732,-0.612111167905207,TRUE
18,4,TRUE,stand,0.168619468440737,0.168619468440737,-1.24251150167147,-0.622661669199273,TRUE
18,3,TRUE,stand,0.137123195205874,0.137123195205874,-1.23112889152302,-0.617796319684033,TRUE
18,2,TRUE,stand,0.112328721286243,0.112328721286243,-1.25415335195998,-0.626289882136797,TRUE
17,11,TRUE,stand,-0.658921681445881,-0.658921681445881,-1.37879916063088,-0.688076393245205,
17,10,TRUE,stand,-0.461552759870561,-0.461552759870561,-1.21783248984006,-0.609689348289145,
17,9,TRUE,stand,-0.419144981412639,-0.419144981412639,-1.10003379520108,-0.548310031319987,
17,8,TRUE,stand,-0.379599086526262,-0.379599086526262,-1.01223039837605,-0.505816377074093,
17,7,TRUE,stand,-0.10038130255677,-0.10038130255677,-0.97695162223811,-0.488766111474218,
17,6,TRUE,stand,-0.000451807228915663,-0.000451807228915663,-1.03169344042838,-0.516671279929342,
17,5,TRUE,stand,-0.0411397226877952,-0.0411397226877952,-1.04721756649229,-0.522406324052236,
17,4,TRUE,stand,-0.0746786197564276,-0.0746786197564276,-1.05943843031123,-0.531746209029469,
17,3,TRUE,stand,-0.123183647353976,-0.123183647353976,-1.07245205502517,-0.533974595363106,
17,2,TRUE,stand,-0.160265464136816,-0.160265464136816,-1.08241300093593,-0.541443050257003,
16,11,TRUE,hit,-0.659710817209557,-0.720323897944225,-1.31984921992252,-0.659710817209557,FALSE
16,10,TRUE,hit,-0.568491460381685,-0.57747095441134,-1.13859583074323,-0.568491460381685,FALSE
16,9,TRUE,hit,-0.50904642754785,-0.545961728974399,-1.01930931400664,-0.50904642754785,TRUE
16,8,TRUE,hit,-0.457637702129861,-0.512236168571629,-0.915573942921254,-0.457637702129861,TRUE
16,7,TRUE,hit,-0.403166822128829,-0.471942946599409,-0.804139850408767,-0.403166822128829,TRUE
16,6,TRUE,stand,-0.112383653931389,-0.112383653931389,-0.872901338533818,-0.438850243018198,TRUE
16,5,TRUE,stand,-0.155178755977509,-0.155178755977509,-0.90788067753858,-0.453372557533956,TRUE
16,4,TRUE,stand,-0.203276350799089,-0.203276350799089,-0.907222231883554,-0.454297439765216,TRUE
16,3,TRUE,stand,-0.253037078770379,-0.253037078770379,-0.937709074263178,-0.469867263781568,TRUE
16,2,TRUE,stand,-0.284845973200718,-0.284845973200718,-0.956865589169775,-0.478134106694862,TRUE
15,11,TRUE,hit,-0.635749173767663,-0.72044593648457,-1.28186991723965,-0.635749173767663,
15,10,TRUE,hit,-0.533571286866367,-0.573865721471855,-1.06969021598059,-0.533571286866367,
15,9,TRUE,hit,-0.471321025153877,-0.536590631071454,-0.939519320716702,-0.471321025153877,
15,8,TRUE,hit,-0.415408609059702,-0.506725647738557,-0.837808070777286,-0.415408609059702,
15,7,TRUE,hit,-0.370413389783205,-0.477029261629161,-0.745740168236394,-0.370413389783205,
15,6,TRUE,stand,-0.116595289079229,-0.116595289079229,-0.748144182726624,-0.379122764362935,
15,5,TRUE,stand,-0.163162581090658,-0.163162581090658,-0.771964892515128,-0.388288442229427,
15,4,TRUE,stand,-0.193865470852018,-0.193865470852018,-0.788591928251121,-0.39531720472275,
15,3,TRUE,stand,-0.241471234554559,-0.241471234554559,-0.816311826794913,-0.410935838230678,
15,2,TRUE,stand,-0.290591983297036,-0.290591983297036,-0.846523515542036,-0.420826021120867,
14,11,TRUE,hit,-0.604727376965988,-0.717914338919926,-1.23538175046555,-0.604727376965988,FALSE
14,10,TRUE,hit,-0.498880676827078,-0.574936211151546,-1.00940217416563,-0.498880676827078,FALSE
14,9,TRUE,hit,-0.42417738098665,-0.53612251692376,-0.862945289091111,-0.42417738098665,FALSE
14,8,TRUE,hit,-0.367251383707886,-0.505952270405794,-0.759030550654657,-0.367251383707886,FALSE
14,7,TRUE,hit,-0.317601190005565,-0.469698671158525,-0.653864869923264,-0.317601190005565,TRUE
14,6,TRUE,stand,-0.112584253018295,-0.112584253018295,-0.613213836012147,-0.308470890669664,TRUE
14,5,TRUE,stand,-0.157060033663737,-0.157060033663737,-0.643164391247428,-0.323868806408808,TRUE
14,4,TRUE,stand,-0.19860079687237,-0.19860079687237,-0.679399165715782,-0.336094356345442,TRUE
14,3,TRUE,stand,-0.247829562566229,-0.247829562566229,-0.702050528898886,-0.352116939130052,TRUE
14,2,TRUE,stand,-0.287975572747879,-0.287975572747879,-0.734428563400333,-0.361984509342549,TRUE
13,11,TRUE,hit,-0.578492263878174,-0.714648505136789,-1.18923390665281,-0.578492263878174,
13,10,TRUE,hit,-0.459242720168674,-0.573644968941721,-0.939108546051435,-0.459242720168674,
13,9,TRUE,hit,-0.377786378857571,-0.539230769230769,-0.786807692307692,-0.377786378857571,
13,8,TRUE,hit,-0.31895350832904,-0.495311659365153,-0.67181615556068,-0.31895350832904,
13,7,TRUE,hit,-0.268318905884291,-0.464242424242424,-0.578624338624339,-0.268318905884291,
13,6,TRUE,stand,-0.115375749193177,-0.115375749193177,-0.479944674965422,-0.240097186213926,
13,5,TRUE,stand,-0.159658685979544,-0.159658685979544,-0.512587399117823,-0.259579944250004,
13,4,TRUE,stand,-0.205084097859327,-0.205084097859327,-0.57782874617737,-0.284692842978716,
13,3,TRUE,stand,-0.241487264716113,-0.241487264716113,-0.582344529045723,-0.292103949800442,
13,2,TRUE,stand,-0.289946036970416,-0.289946036970416,-0.630448926480156,-0.313252713511579,
12,11,TRUE,hit,-0.544575762103878,-0.718701947079381,-1.14835746380429,-0.544575762103878,FALSE
12,10,TRUE,hit,-0.417237528719141,-0.575505838131798,-0.874600127959053,-0.417237528719141,FALSE
12,9,TRUE,hit,-0.342805739032137,-0.543500715080248,-0.747060225647545,-0.342805739032137,FALSE
12,8,TRUE,hit,-0.274155273105518,-0.513868847202181,-0.627505210838544,-0.274155273105518,FALSE
12,7,TRUE,hit,-0.207961949190148,-0.472670869608726,-0.500150105073552,-0.207961949190148,FALSE
12,6,TRUE,stand,-0.111501976284585,-0.111501976284585,-0.345296442687747,-0.176383949309962,TRUE
12,5,TRUE,stand,-0.158342530350156,-0.158342530350156,-0.375559345841276,-0.189091740778256,TRUE
12,4,TRUE,stand,-0.205385196675019,-0.205385196675019,-0.425287356321839,-0.21238411212416,TRUE
12,3,TRUE,hit,-0.230733547500927,-0.251223491027732,-0.463653364102972,-0.230733547500927,TRUE
12,2,TRUE,hit,-0.25395766002198,-0.29193197388571,-0.513097444990731,-0.25395766002198,TRUE
11,11,TRUE,hit,-0.123083595337728,-0.722567457072772,-0.33630417007359,-0.123083595337728,
11,10,TRUE,double,0.060978876867594,-0.572509015971149,0.060978876867594,0.0586413298361877,
11,9,TRUE,double,0.223400289915096,-0.546904120936012,0.223400289915096,0.163300087560571,
11,8,TRUE,double,0.354942871336314,-0.505547276039079,0.354942871336314,0.232356494114266,
11,7,TRUE,double,0.47423533794131,-0.468647820868342,0.47423533794131,0.296135063527871,
11,6,TRUE,double,0.677163391633085,-0.118275102820822,0.677163391633085,0.338143514331649,
11,5,TRUE,double,0.630568997163357,-0.15860170198565,0.630568997163357,0.313015860375305,
11,4,TRUE,double,0.563775615814531,-0.2096874353136,0.563775615814531,0.285431161178337,
11,3,TRUE,double,0.498001895109793,-0.251349235776377,0.498001895109793,0.255918411095607,
11,2,TRUE,double,0.468818630091576,-0.296813491899059,0.468818630091576,0.241297724556987,
10,11,TRUE,hit,-0.256651857978163,-0.714072136049337,-0.589796299757055,-0.256651857978163,FALSE
10,10,TRUE,hit,-0.042808780720289,-0.576842572838077,-0.149169151248797,-0.042808780720289,FALSE
10,9,TRUE,double,0.147590361445783,-0.531787865748709,0.147590361445783,0.111523805964015,FALSE
10,8,TRUE,double,0.286202315429873,-0.516416777377112,0.286202315429873,0.202879140595598,FALSE
10,7,TRUE,double,0.393432884184376,-0.471660410984797,0.393432884184376,0.258800123341604,FALSE
10,6,TRUE,double,0.577373281786942,-0.107227233676976,0.577373281786942,0.287335119020447,FALSE
10,5,TRUE,double,0.523540489642185,-0.158837772397094,0.523540489642185,0.2605981710794,FALSE
10,4,TRUE,double,0.451518596719181,-0.21157490119647,0.451518596719181,0.232180084840844,FALSE
10,3,TRUE,double,0.40505165233382,-0.248526150684191,0.40505165233382,0.204353005625114,FALSE
10,2,TRUE,double,0.363901333189399,-0.294003346467318,0.363901333189399,0.185254626732488,FALSE
21,11,FALSE,stand,0.628681710213777,0.628681710213777,-2,-1,
21,10,FALSE,stand,0.890036108412245,0.890036108412245,-2,-1,
21,9,FALSE,stand,0.940147754819347,0.940147754819347,-2,-1,
21,8,FALSE,stand,0.932271835698627,0.932271835698627,-2,-1,
21,7,FALSE,stand,0.927973391443973,0.927973391443973,-2,-1,
21,6,FALSE,stand,0.891817713991652,0.891817713991652,-2,-1,
21,5,FALSE,stand,0.893217893217893,0.893217893217893,-2,-1,
21,4,FALSE,stand,0.888070013818517,0.888070013818517,-2,-1,
21,3,FALSE,stand,0.882713196209845,0.882713196209845,-2,-1,
21,2,FALSE,stand,0.877275598690634,0.877275598690634,-2,-1,
20,11,FALSE,stand,0.0913149350649351,0.0913149350649351,-0.594155844155844,-0.246436739857166,
20,10,FALSE,stand,0.435551646633441,0.435551646633441,-0.154060392846673,-0.0457498214111442,
20,9,FALSE,stand,0.767414169478071,0.767414169478071,0.169874975193491,0.111973953753749,
20,8,FALSE,stand,0.793604080831862,0.793604080831862,0.277418089072003,0.192687729479177,
20,7,FALSE,stand,0.76408767891102,0.76408767891102,0.366329696727054,0.255122354381559,
20,6,FALSE,stand,0.690522243713733,0.690522243713733,0.595164410058027,0.286072015254744,
20,5,FALSE,stand,0.672185754874106,0.672185754874106,0.528656804154012,0.259758046671142,
20,4,FALSE,stand,0.663982717989002,0.663982717989002,0.479575805184603,0.229474152029028,
20,3,FALSE,stand,0.640657084188912,0.640657084188912,0.425931358169551,0.20523071163999,
20,2,FALSE,stand,0.621690278456278,0.621690278456278,0.315388373229116,0.173089700589003,
19,11,FALSE,stand,-0.196464309539693,-0.196464309539693,-0.750722704024906,-0.322444020160765,
19,10,FALSE,stand,-0.0138096507597974,-0.0138096507597974,-0.357291388962943,-0.149872219558753,
19,9,FALSE,stand,0.276443590564628,0.276443590564628,-0.0858149215497919,0.00502111552201928,
19,8,FALSE,stand,0.607990420204659,0.607990420204659,0.209666884389288,0.150554874074855,
19,7,FALSE,stand,0.609013531209079,0.609013531209079,0.313182016586643,0.216596306096764,
19,6,FALSE,double,0.462657403386887,0.453647416413374,0.462657403386887,0.229448292105184,
19,5,FALSE,stand,0.446399478657543,0.446399478657543,0.42098403388726,0.20386587855485,
19,4,FALSE,stand,0.417951240843993,0.417951240843993,0.372143872307861,0.177412888709374,
19,3,FALSE,stand,0.403803626713844,0.403803626713844,0.308491817779744,0.147971916733052,
19,2,FALSE,stand,0.380760869565217,0.380760869565217,0.251739130434783,0.122482286850927,
18,11,FALSE,hit,-0.386329670607987,-0.458138963908667,-0.850724281856126,-0.386329670607987,
18,10,FALSE,hit,-0.199249601262455,-0.23801139924204,-0.458237593625974,-0.199249601262455,
18,9,FALSE,hit,-0.103641669980271,-0.166037290535756,-0.286287467547793,-0.103641669980271,
18,8,FALSE,stand,0.126880701338704,0.126880701338704,-0.00450183627532285,0.0420575126525245,
18,7,FALSE,stand,0.394666988416988,0.394666988416988,0.212837837837838,0.174622334610438,
18,6,FALSE,double,0.39622418879056,0.23882005899705,0.39622418879056,0.18489463135762,
18,5,FALSE,double,0.281791907514451,0.198819845857418,0.281791907514451,0.147606441820372,
18,4,FALSE,double,0.197128724816021,0.150681626251659,0.197128724816021,0.11855302533438,
18,3,FALSE,double,0.15121598844209,0.12617385022875,0.15121598844209,0.0868303828173223,
18,2,FALSE,double,0.117294315183497,0.105181098584793,0.117294315183497,0.0616895736847613,
